# This is ionized PAHs from DL (2007)
# nsize (number of sampled sizes in this file
# sizes (microns)
# n_size = 30 
#    3.0000E-04  3.3056E-04  3.6424E-04  4.0135E-04  4.4223E-04  4.8729E-04  5.3693E-04  5.9163E-04  6.5190E-04  7.1832E-04  7.9150E-04  8.7213E-04  9.6098E-04  1.0589E-03  1.1668E-03  1.2856E-03  1.4166E-03  1.5609E-03  1.7199E-03  1.8951E-03  2.0882E-03  2.3010E-03  2.5354E-03  2.7937E-03  3.0783E-03  3.3919E-03  3.7374E-03  4.1182E-03  4.5377E-03  5.0000E-03
#
# Index=	   0  radius=   0.0003000000
# Radius 	 Lambda 	 Qabs 	 Qext 
6.5190e-04 6.6471e+02 4.1845e-09 4.1845e-09 
6.5190e-04 7.0716e+02 3.6965e-09 3.6965e-09 
6.5190e-04 7.5231e+02 3.2656e-09 3.2656e-09 
6.5190e-04 8.0035e+02 2.8849e-09 2.8849e-09 
6.5190e-04 8.5145e+02 2.5487e-09 2.5487e-09 
6.5190e-04 9.0582e+02 2.2516e-09 2.2516e-09 
6.5190e-04 9.6366e+02 1.9893e-09 1.9893e-09 
6.5190e-04 1.0252e+03 1.7574e-09 1.7574e-09 
6.5190e-04 1.0906e+03 1.5529e-09 1.5529e-09 
6.5190e-04 1.1603e+03 1.3718e-09 1.3718e-09 
6.5190e-04 1.2344e+03 1.2120e-09 1.2120e-09 
6.5190e-04 1.3132e+03 1.0709e-09 1.0709e-09 
6.5190e-04 1.3970e+03 9.4616e-10 9.4616e-10 
6.5190e-04 1.4862e+03 8.3595e-10 8.3595e-10 
6.5190e-04 1.5811e+03 7.3861e-10 7.3861e-10 
6.5190e-04 1.6821e+03 6.5256e-10 6.5256e-10 
6.5190e-04 1.7895e+03 5.7655e-10 5.7655e-10 
6.5190e-04 1.9038e+03 5.0939e-10 5.0939e-10 
6.5190e-04 2.0253e+03 4.5010e-10 4.5010e-10 
6.5190e-04 2.1546e+03 3.9768e-10 3.9768e-10 
6.5190e-04 2.2922e+03 3.5137e-10 3.5137e-10 
6.5190e-04 2.4386e+03 3.1044e-10 3.1044e-10 
6.5190e-04 2.5943e+03 2.7428e-10 2.7428e-10 
6.5190e-04 2.7599e+03 2.4236e-10 2.4236e-10 
6.5190e-04 2.9362e+03 2.1412e-10 2.1412e-10 
6.5190e-04 3.1236e+03 1.8920e-10 1.8920e-10 
6.5190e-04 3.3231e+03 1.6717e-10 1.6717e-10 
6.5190e-04 3.5353e+03 1.4770e-10 1.4770e-10 
6.5190e-04 3.7610e+03 1.3050e-10 1.3050e-10 
6.5190e-04 4.0012e+03 1.1530e-10 1.1530e-10 
6.5190e-04 4.2566e+03 1.0188e-10 1.0188e-10 
6.5190e-04 4.5284e+03 9.0019e-11 9.0019e-11 
6.5190e-04 4.8176e+03 7.9534e-11 7.9534e-11 
6.5190e-04 5.1252e+03 7.0274e-11 7.0274e-11 
6.5190e-04 5.4524e+03 6.2092e-11 6.2092e-11 
6.5190e-04 5.8006e+03 5.4862e-11 5.4862e-11 
6.5190e-04 6.1710e+03 4.8474e-11 4.8474e-11 
6.5190e-04 6.5650e+03 4.2830e-11 4.2830e-11 
6.5190e-04 6.9842e+03 3.7842e-11 3.7842e-11 
6.5190e-04 7.4301e+03 3.3437e-11 3.3437e-11 
6.5190e-04 7.9046e+03 2.9543e-11 2.9543e-11 
6.5190e-04 8.4093e+03 2.6103e-11 2.6103e-11 
6.5190e-04 8.9462e+03 2.3064e-11 2.3064e-11 
6.5190e-04 9.5174e+03 2.0378e-11 2.0378e-11 
6.5190e-04 1.0125e+04 1.8006e-11 1.8006e-11 
6.5190e-04 1.0772e+04 1.5908e-11 1.5908e-11 
6.5190e-04 1.1459e+04 1.4058e-11 1.4058e-11 
6.5190e-04 1.2191e+04 1.2420e-11 1.2420e-11 
6.5190e-04 1.2970e+04 1.0973e-11 1.0973e-11 
6.5190e-04 1.3798e+04 9.6957e-12 9.6957e-12 
6.5190e-04 1.4679e+04 8.5666e-12 8.5666e-12 
6.5190e-04 1.5616e+04 7.5695e-12 7.5695e-12 
6.5190e-04 1.6613e+04 6.6883e-12 6.6883e-12 
6.5190e-04 1.7674e+04 5.9092e-12 5.9092e-12 
6.5190e-04 1.8802e+04 5.2215e-12 5.2215e-12 
6.5190e-04 2.0003e+04 4.6134e-12 4.6134e-12 
6.5190e-04 2.1280e+04 4.0762e-12 4.0762e-12 
6.5190e-04 2.2639e+04 3.6015e-12 3.6015e-12 
6.5190e-04 2.4084e+04 3.1824e-12 3.1824e-12 
6.5190e-04 2.5622e+04 2.8117e-12 2.8117e-12 
6.5190e-04 2.7258e+04 2.4843e-12 2.4843e-12 
6.5190e-04 2.8999e+04 2.1950e-12 2.1950e-12 
6.5190e-04 3.0850e+04 1.9395e-12 1.9395e-12 
6.5190e-04 3.2820e+04 1.7136e-12 1.7136e-12 
6.5190e-04 3.4916e+04 1.5141e-12 1.5141e-12 
6.5190e-04 3.7145e+04 1.3378e-12 1.3378e-12 
6.5190e-04 3.9517e+04 1.1820e-12 1.1820e-12 
6.5190e-04 4.2040e+04 1.0444e-12 1.0444e-12 
6.5190e-04 4.4725e+04 9.2275e-13 9.2275e-13 
6.5190e-04 4.7580e+04 8.1533e-13 8.1533e-13 
6.5190e-04 5.0618e+04 7.2040e-13 7.2040e-13 
6.5190e-04 5.3850e+04 6.3651e-13 6.3651e-13 
6.5190e-04 5.7289e+04 5.6238e-13 5.6238e-13 
6.5190e-04 6.0947e+04 4.9691e-13 4.9691e-13 
6.5190e-04 6.4838e+04 4.3905e-13 4.3905e-13 
6.5190e-04 6.8978e+04 3.8793e-13 3.8793e-13 
6.5190e-04 7.3383e+04 3.4275e-13 3.4275e-13 
6.5190e-04 7.8068e+04 3.0285e-13 3.0285e-13 
6.5190e-04 8.3053e+04 2.6758e-13 2.6758e-13 
6.5190e-04 8.8356e+04 2.3643e-13 2.3643e-13 
6.5190e-04 9.3998e+04 2.0890e-13 2.0890e-13 
6.5190e-04 1.0000e+05 1.8457e-13 1.8457e-13 


# Index=	   9  radius=   0.0007183200
# Radius 	 Lambda 	 Qabs 	 Qext 
7.1832e-04 4.0000e-02 4.4060e-02 4.4060e-02 
7.1832e-04 4.0657e-02 4.5150e-02 4.5150e-02 
7.1832e-04 4.1325e-02 4.6258e-02 4.6258e-02 
7.1832e-04 4.2004e-02 4.7387e-02 4.7387e-02 
7.1832e-04 4.2694e-02 4.9498e-02 4.9498e-02 
7.1832e-04 4.3395e-02 5.1875e-02 5.1875e-02 
7.1832e-04 4.4108e-02 5.4355e-02 5.4355e-02 
7.1832e-04 4.4832e-02 5.7208e-02 5.7208e-02 
7.1832e-04 4.5569e-02 6.0694e-02 6.0694e-02 
7.1832e-04 4.6317e-02 6.4419e-02 6.4419e-02 
7.1832e-04 4.7078e-02 6.8416e-02 6.8416e-02 
7.1832e-04 4.7851e-02 7.2723e-02 7.2723e-02 
7.1832e-04 4.8637e-02 7.7400e-02 7.7400e-02 
7.1832e-04 4.9436e-02 8.2521e-02 8.2521e-02 
7.1832e-04 5.0248e-02 8.7806e-02 8.7806e-02 
7.1832e-04 5.1073e-02 9.3037e-02 9.3037e-02 
7.1832e-04 5.1912e-02 9.8794e-02 9.8794e-02 
7.1832e-04 5.2765e-02 1.0511e-01 1.0511e-01 
7.1832e-04 5.3632e-02 1.1129e-01 1.1129e-01 
7.1832e-04 5.4513e-02 1.1790e-01 1.1790e-01 
7.1832e-04 5.5408e-02 1.2520e-01 1.2520e-01 
7.1832e-04 5.6318e-02 1.3292e-01 1.3292e-01 
7.1832e-04 5.7243e-02 1.4080e-01 1.4080e-01 
7.1832e-04 5.8184e-02 1.5671e-01 1.5671e-01 
7.1832e-04 5.9139e-02 1.7625e-01 1.7625e-01 
7.1832e-04 6.0111e-02 1.9551e-01 1.9551e-01 
7.1832e-04 6.1098e-02 2.1445e-01 2.1445e-01 
7.1832e-04 6.2102e-02 2.3311e-01 2.3311e-01 
7.1832e-04 6.3122e-02 2.5147e-01 2.5147e-01 
7.1832e-04 6.4159e-02 2.6955e-01 2.6955e-01 
7.1832e-04 6.5213e-02 2.8735e-01 2.8735e-01 
7.1832e-04 6.6284e-02 3.0486e-01 3.0486e-01 
7.1832e-04 6.7372e-02 3.2119e-01 3.2119e-01 
7.1832e-04 6.8479e-02 3.3966e-01 3.3966e-01 
7.1832e-04 6.9604e-02 3.5743e-01 3.5743e-01 
7.1832e-04 7.0747e-02 3.7074e-01 3.7074e-01 
7.1832e-04 7.1909e-02 3.7552e-01 3.7552e-01 
7.1832e-04 7.3091e-02 3.6940e-01 3.6940e-01 
7.1832e-04 7.4291e-02 3.5325e-01 3.5325e-01 
7.1832e-04 7.5511e-02 3.3052e-01 3.3052e-01 
7.1832e-04 7.6752e-02 3.0535e-01 3.0535e-01 
7.1832e-04 7.8012e-02 2.8087e-01 2.8087e-01 
7.1832e-04 7.9294e-02 2.5865e-01 2.5865e-01 
7.1832e-04 8.0596e-02 2.3928e-01 2.3928e-01 
7.1832e-04 8.1920e-02 2.2267e-01 2.2267e-01 
7.1832e-04 8.3266e-02 2.0850e-01 2.0850e-01 
7.1832e-04 8.4634e-02 1.9643e-01 1.9643e-01 
7.1832e-04 8.6024e-02 1.8604e-01 1.8604e-01 
7.1832e-04 8.7437e-02 1.7701e-01 1.7701e-01 
7.1832e-04 8.8873e-02 1.6909e-01 1.6909e-01 
7.1832e-04 9.0333e-02 1.6204e-01 1.6204e-01 
7.1832e-04 9.1817e-02 1.5572e-01 1.5572e-01 
7.1832e-04 9.3325e-02 1.5000e-01 1.5000e-01 
7.1832e-04 9.4858e-02 1.4474e-01 1.4474e-01 
7.1832e-04 9.6416e-02 1.3989e-01 1.3989e-01 
7.1832e-04 9.7999e-02 1.3540e-01 1.3540e-01 
7.1832e-04 9.9609e-02 1.3120e-01 1.3120e-01 
7.1832e-04 1.0125e-01 1.2554e-01 1.2554e-01 
7.1832e-04 1.0291e-01 1.2029e-01 1.2029e-01 
7.1832e-04 1.0460e-01 1.1505e-01 1.1505e-01 
7.1832e-04 1.0632e-01 1.0987e-01 1.0987e-01 
7.1832e-04 1.0806e-01 1.0478e-01 1.0478e-01 
7.1832e-04 1.0984e-01 9.9756e-02 9.9756e-02 
7.1832e-04 1.1164e-01 9.4881e-02 9.4881e-02 
7.1832e-04 1.1348e-01 9.0117e-02 9.0117e-02 
7.1832e-04 1.1534e-01 8.5523e-02 8.5523e-02 
7.1832e-04 1.1723e-01 8.1092e-02 8.1092e-02 
7.1832e-04 1.1916e-01 7.6823e-02 7.6823e-02 
7.1832e-04 1.2112e-01 7.2745e-02 7.2745e-02 
7.1832e-04 1.2311e-01 6.8866e-02 6.8866e-02 
7.1832e-04 1.2513e-01 6.5198e-02 6.5198e-02 
7.1832e-04 1.2718e-01 6.1748e-02 6.1748e-02 
7.1832e-04 1.2927e-01 5.8504e-02 5.8504e-02 
7.1832e-04 1.3140e-01 5.4955e-02 5.4955e-02 
7.1832e-04 1.3356e-01 5.2642e-02 5.2642e-02 
7.1832e-04 1.3575e-01 5.0600e-02 5.0600e-02 
7.1832e-04 1.3798e-01 4.8806e-02 4.8806e-02 
7.1832e-04 1.4025e-01 4.7255e-02 4.7255e-02 
7.1832e-04 1.4255e-01 4.5944e-02 4.5944e-02 
7.1832e-04 1.4489e-01 4.4857e-02 4.4857e-02 
7.1832e-04 1.4727e-01 4.3989e-02 4.3989e-02 
7.1832e-04 1.4969e-01 4.3340e-02 4.3340e-02 
7.1832e-04 1.5215e-01 4.2906e-02 4.2906e-02 
7.1832e-04 1.5465e-01 4.2687e-02 4.2687e-02 
7.1832e-04 1.5719e-01 4.2686e-02 4.2686e-02 
7.1832e-04 1.5977e-01 4.2909e-02 4.2909e-02 
7.1832e-04 1.6239e-01 4.3366e-02 4.3366e-02 
7.1832e-04 1.6506e-01 4.4073e-02 4.4073e-02 
7.1832e-04 1.6777e-01 4.5051e-02 4.5051e-02 
7.1832e-04 1.7053e-01 4.6324e-02 4.6324e-02 
7.1832e-04 1.7333e-01 4.7864e-02 4.7864e-02 
7.1832e-04 1.7618e-01 4.9715e-02 4.9715e-02 
7.1832e-04 1.7907e-01 5.1934e-02 5.1934e-02 
7.1832e-04 1.8201e-01 5.4607e-02 5.4607e-02 
7.1832e-04 1.8500e-01 5.7831e-02 5.7831e-02 
7.1832e-04 1.8804e-01 6.1713e-02 6.1713e-02 
7.1832e-04 1.9113e-01 6.6374e-02 6.6374e-02 
7.1832e-04 1.9427e-01 7.1924e-02 7.1924e-02 
7.1832e-04 1.9746e-01 7.8414e-02 7.8414e-02 
7.1832e-04 2.0070e-01 8.5791e-02 8.5791e-02 
7.1832e-04 2.0400e-01 9.3818e-02 9.3818e-02 
7.1832e-04 2.0735e-01 1.0186e-01 1.0186e-01 
7.1832e-04 2.1076e-01 1.0890e-01 1.0890e-01 
7.1832e-04 2.1422e-01 1.1368e-01 1.1368e-01 
7.1832e-04 2.1774e-01 1.1510e-01 1.1510e-01 
7.1832e-04 2.2131e-01 1.1278e-01 1.1278e-01 
7.1832e-04 2.2495e-01 1.0722e-01 1.0722e-01 
7.1832e-04 2.2864e-01 9.9617e-02 9.9617e-02 
7.1832e-04 2.3240e-01 9.1192e-02 9.1192e-02 
7.1832e-04 2.3622e-01 8.2916e-02 8.2916e-02 
7.1832e-04 2.4010e-01 7.5342e-02 7.5342e-02 
7.1832e-04 2.4404e-01 6.8696e-02 6.8696e-02 
7.1832e-04 2.4805e-01 6.2992e-02 6.2992e-02 
7.1832e-04 2.5212e-01 5.8167e-02 5.8167e-02 
7.1832e-04 2.5627e-01 5.4085e-02 5.4085e-02 
7.1832e-04 2.6047e-01 5.0659e-02 5.0659e-02 
7.1832e-04 2.6475e-01 4.7758e-02 4.7758e-02 
7.1832e-04 2.6910e-01 4.5292e-02 4.5292e-02 
7.1832e-04 2.7352e-01 4.3186e-02 4.3186e-02 
7.1832e-04 2.7802e-01 4.1376e-02 4.1376e-02 
7.1832e-04 2.8258e-01 3.9816e-02 3.9816e-02 
7.1832e-04 2.8722e-01 3.8456e-02 3.8456e-02 
7.1832e-04 2.9194e-01 3.7263e-02 3.7263e-02 
7.1832e-04 2.9674e-01 3.6213e-02 3.6213e-02 
7.1832e-04 3.0161e-01 3.5284e-02 3.5284e-02 
7.1832e-04 3.0657e-01 3.3260e-02 3.3260e-02 
7.1832e-04 3.1160e-01 3.1963e-02 3.1963e-02 
7.1832e-04 3.1672e-01 3.0695e-02 3.0695e-02 
7.1832e-04 3.2192e-01 2.9459e-02 2.9459e-02 
7.1832e-04 3.2721e-01 2.8252e-02 2.8252e-02 
7.1832e-04 3.3258e-01 2.7079e-02 2.7079e-02 
7.1832e-04 3.3805e-01 2.5933e-02 2.5933e-02 
7.1832e-04 3.4360e-01 2.4820e-02 2.4820e-02 
7.1832e-04 3.4924e-01 2.3739e-02 2.3739e-02 
7.1832e-04 3.5498e-01 2.2687e-02 2.2687e-02 
7.1832e-04 3.6081e-01 2.1666e-02 2.1666e-02 
7.1832e-04 3.6674e-01 2.0674e-02 2.0674e-02 
7.1832e-04 3.7276e-01 1.9714e-02 1.9714e-02 
7.1832e-04 3.7888e-01 1.8783e-02 1.8783e-02 
7.1832e-04 3.8511e-01 1.7881e-02 1.7881e-02 
7.1832e-04 3.9143e-01 1.7009e-02 1.7009e-02 
7.1832e-04 3.9786e-01 1.6166e-02 1.6166e-02 
7.1832e-04 4.0440e-01 1.5351e-02 1.5351e-02 
7.1832e-04 4.1104e-01 1.4565e-02 1.4565e-02 
7.1832e-04 4.1779e-01 1.3807e-02 1.3807e-02 
7.1832e-04 4.2466e-01 1.3075e-02 1.3075e-02 
7.1832e-04 4.3163e-01 1.2372e-02 1.2372e-02 
7.1832e-04 4.3872e-01 1.1695e-02 1.1695e-02 
7.1832e-04 4.4593e-01 1.1044e-02 1.1044e-02 
7.1832e-04 4.5325e-01 1.0419e-02 1.0419e-02 
7.1832e-04 4.6070e-01 9.8189e-03 9.8189e-03 
7.1832e-04 4.6826e-01 9.2439e-03 9.2439e-03 
7.1832e-04 4.7596e-01 8.6916e-03 8.6916e-03 
7.1832e-04 4.8377e-01 8.1634e-03 8.1634e-03 
7.1832e-04 4.9172e-01 7.6568e-03 7.6568e-03 
7.1832e-04 4.9980e-01 7.1715e-03 7.1715e-03 
7.1832e-04 5.0801e-01 6.7068e-03 6.7068e-03 
7.1832e-04 5.1635e-01 6.2615e-03 6.2615e-03 
7.1832e-04 5.2483e-01 5.8338e-03 5.8338e-03 
7.1832e-04 5.3345e-01 5.4220e-03 5.4220e-03 
7.1832e-04 5.4222e-01 5.0234e-03 5.0234e-03 
7.1832e-04 5.5112e-01 4.6359e-03 4.6359e-03 
7.1832e-04 5.6018e-01 4.2537e-03 4.2537e-03 
7.1832e-04 5.6938e-01 3.8713e-03 3.8713e-03 
7.1832e-04 5.7873e-01 3.4793e-03 3.4793e-03 
7.1832e-04 5.8824e-01 3.0666e-03 3.0666e-03 
7.1832e-04 5.9790e-01 2.6287e-03 2.6287e-03 
7.1832e-04 6.0772e-01 2.1856e-03 2.1856e-03 
7.1832e-04 6.1770e-01 1.7929e-03 1.7929e-03 
7.1832e-04 6.2785e-01 1.4968e-03 1.4968e-03 
7.1832e-04 6.3816e-01 1.2956e-03 1.2956e-03 
7.1832e-04 6.4864e-01 1.1602e-03 1.1602e-03 
7.1832e-04 6.5930e-01 1.0611e-03 1.0611e-03 
7.1832e-04 6.7013e-01 9.7577e-04 9.7577e-04 
7.1832e-04 6.8113e-01 8.8797e-04 8.8797e-04 
7.1832e-04 6.9232e-01 7.8692e-04 7.8692e-04 
7.1832e-04 7.0369e-01 6.6732e-04 6.6732e-04 
7.1832e-04 7.1525e-01 5.3147e-04 5.3147e-04 
7.1832e-04 7.2700e-01 3.9434e-04 3.9434e-04 
7.1832e-04 7.3894e-01 2.7811e-04 2.7811e-04 
7.1832e-04 7.5108e-01 1.9407e-04 1.9407e-04 
7.1832e-04 7.6342e-01 1.3854e-04 1.3854e-04 
7.1832e-04 7.7596e-01 1.0276e-04 1.0276e-04 
7.1832e-04 7.8870e-01 7.9516e-05 7.9516e-05 
7.1832e-04 8.0166e-01 6.4040e-05 6.4040e-05 
7.1832e-04 8.1483e-01 5.3455e-05 5.3455e-05 
7.1832e-04 8.2821e-01 4.6004e-05 4.6004e-05 
7.1832e-04 8.4181e-01 4.0608e-05 4.0608e-05 
7.1832e-04 8.5564e-01 3.6593e-05 3.6593e-05 
7.1832e-04 8.6970e-01 3.3518e-05 3.3518e-05 
7.1832e-04 8.8398e-01 3.1107e-05 3.1107e-05 
7.1832e-04 8.9850e-01 2.9169e-05 2.9169e-05 
7.1832e-04 9.1326e-01 2.7570e-05 2.7570e-05 
7.1832e-04 9.2826e-01 2.6221e-05 2.6221e-05 
7.1832e-04 9.4351e-01 2.5062e-05 2.5062e-05 
7.1832e-04 9.5901e-01 2.4048e-05 2.4048e-05 
7.1832e-04 9.7476e-01 2.3146e-05 2.3146e-05 
7.1832e-04 9.9077e-01 2.2331e-05 2.2331e-05 
7.1832e-04 1.0070e+00 2.1590e-05 2.1590e-05 
7.1832e-04 1.0236e+00 2.0899e-05 2.0899e-05 
7.1832e-04 1.0404e+00 2.0262e-05 2.0262e-05 
7.1832e-04 1.0575e+00 1.9662e-05 1.9662e-05 
7.1832e-04 1.0749e+00 1.9095e-05 1.9095e-05 
7.1832e-04 1.0925e+00 1.8559e-05 1.8559e-05 
7.1832e-04 1.1105e+00 1.8046e-05 1.8046e-05 
7.1832e-04 1.1287e+00 1.7556e-05 1.7556e-05 
7.1832e-04 1.1472e+00 1.7086e-05 1.7086e-05 
7.1832e-04 1.1661e+00 1.6634e-05 1.6634e-05 
7.1832e-04 1.1852e+00 1.6200e-05 1.6200e-05 
7.1832e-04 1.2047e+00 1.5779e-05 1.5779e-05 
7.1832e-04 1.2245e+00 1.5373e-05 1.5373e-05 
7.1832e-04 1.2446e+00 1.4982e-05 1.4982e-05 
7.1832e-04 1.2651e+00 1.4600e-05 1.4600e-05 
7.1832e-04 1.2858e+00 1.4233e-05 1.4233e-05 
7.1832e-04 1.3070e+00 1.3874e-05 1.3874e-05 
7.1832e-04 1.3284e+00 1.3527e-05 1.3527e-05 
7.1832e-04 1.3502e+00 1.3187e-05 1.3187e-05 
7.1832e-04 1.3724e+00 1.2858e-05 1.2858e-05 
7.1832e-04 1.3950e+00 1.2537e-05 1.2537e-05 
7.1832e-04 1.4179e+00 1.2225e-05 1.2225e-05 
7.1832e-04 1.4412e+00 1.1922e-05 1.1922e-05 
7.1832e-04 1.4648e+00 1.1629e-05 1.1629e-05 
7.1832e-04 1.4889e+00 1.1341e-05 1.1341e-05 
7.1832e-04 1.5134e+00 1.1062e-05 1.1062e-05 
7.1832e-04 1.5382e+00 1.0792e-05 1.0792e-05 
7.1832e-04 1.5635e+00 1.0528e-05 1.0528e-05 
7.1832e-04 1.5892e+00 1.0271e-05 1.0271e-05 
7.1832e-04 1.6153e+00 1.0022e-05 1.0022e-05 
7.1832e-04 1.6418e+00 9.7804e-06 9.7804e-06 
7.1832e-04 1.6688e+00 9.5447e-06 9.5447e-06 
7.1832e-04 1.6962e+00 9.3152e-06 9.3152e-06 
7.1832e-04 1.7240e+00 9.0925e-06 9.0925e-06 
7.1832e-04 1.7524e+00 8.8741e-06 8.8741e-06 
7.1832e-04 1.7811e+00 8.6622e-06 8.6622e-06 
7.1832e-04 1.8104e+00 8.4551e-06 8.4551e-06 
7.1832e-04 1.8401e+00 8.2539e-06 8.2539e-06 
7.1832e-04 1.8704e+00 8.0572e-06 8.0572e-06 
7.1832e-04 1.9011e+00 7.8659e-06 7.8659e-06 
7.1832e-04 1.9323e+00 7.6803e-06 7.6803e-06 
7.1832e-04 1.9641e+00 7.4989e-06 7.4989e-06 
7.1832e-04 1.9963e+00 7.3229e-06 7.3229e-06 
7.1832e-04 2.0291e+00 7.1515e-06 7.1515e-06 
7.1832e-04 2.0624e+00 6.9848e-06 6.9848e-06 
7.1832e-04 2.0963e+00 6.8225e-06 6.8225e-06 
7.1832e-04 2.1307e+00 6.6651e-06 6.6651e-06 
7.1832e-04 2.1657e+00 6.5113e-06 6.5113e-06 
7.1832e-04 2.2013e+00 6.3616e-06 6.3616e-06 
7.1832e-04 2.2375e+00 6.2166e-06 6.2166e-06 
7.1832e-04 2.2742e+00 6.0769e-06 6.0769e-06 
7.1832e-04 2.3116e+00 5.9419e-06 5.9419e-06 
7.1832e-04 2.3496e+00 5.8114e-06 5.8114e-06 
7.1832e-04 2.3881e+00 5.6858e-06 5.6858e-06 
7.1832e-04 2.4274e+00 5.5652e-06 5.5652e-06 
7.1832e-04 2.4672e+00 5.4497e-06 5.4497e-06 
7.1832e-04 2.5078e+00 5.3387e-06 5.3387e-06 
7.1832e-04 2.5490e+00 5.2321e-06 5.2321e-06 
7.1832e-04 2.5908e+00 5.1302e-06 5.1302e-06 
7.1832e-04 2.6334e+00 5.0345e-06 5.0345e-06 
7.1832e-04 2.6766e+00 4.9461e-06 4.9461e-06 
7.1832e-04 2.7206e+00 4.8655e-06 4.8655e-06 
7.1832e-04 2.7653e+00 4.7955e-06 4.7955e-06 
7.1832e-04 2.8107e+00 4.7398e-06 4.7398e-06 
7.1832e-04 2.8569e+00 4.7035e-06 4.7035e-06 
7.1832e-04 2.9038e+00 4.6955e-06 4.6955e-06 
7.1832e-04 2.9515e+00 4.7311e-06 4.7311e-06 
7.1832e-04 3.0000e+00 4.8404e-06 4.8404e-06 
7.1832e-04 3.0159e+00 4.9007e-06 4.9007e-06 
7.1832e-04 3.0320e+00 4.9792e-06 4.9792e-06 
7.1832e-04 3.0481e+00 5.0792e-06 5.0792e-06 
7.1832e-04 3.0643e+00 5.2074e-06 5.2074e-06 
7.1832e-04 3.0806e+00 5.3734e-06 5.3734e-06 
7.1832e-04 3.0969e+00 5.5881e-06 5.5881e-06 
7.1832e-04 3.1134e+00 5.8726e-06 5.8726e-06 
7.1832e-04 3.1300e+00 6.2547e-06 6.2547e-06 
7.1832e-04 3.1466e+00 6.7752e-06 6.7752e-06 
7.1832e-04 3.1633e+00 7.5085e-06 7.5085e-06 
7.1832e-04 3.1801e+00 8.5801e-06 8.5801e-06 
7.1832e-04 3.1970e+00 1.0222e-05 1.0222e-05 
7.1832e-04 3.2140e+00 1.2901e-05 1.2901e-05 
7.1832e-04 3.2311e+00 1.7663e-05 1.7663e-05 
7.1832e-04 3.2483e+00 2.7196e-05 2.7196e-05 
7.1832e-04 3.2655e+00 4.9441e-05 4.9441e-05 
7.1832e-04 3.2829e+00 1.1003e-04 1.1003e-04 
7.1832e-04 3.3003e+00 1.8971e-04 1.8971e-04 
7.1832e-04 3.3179e+00 1.0628e-04 1.0628e-04 
7.1832e-04 3.3355e+00 4.8120e-05 4.8120e-05 
7.1832e-04 3.3532e+00 2.6541e-05 2.6541e-05 
7.1832e-04 3.3711e+00 1.7218e-05 1.7218e-05 
7.1832e-04 3.3890e+00 1.2537e-05 1.2537e-05 
7.1832e-04 3.4070e+00 9.8677e-06 9.8677e-06 
7.1832e-04 3.4251e+00 8.2080e-06 8.2080e-06 
7.1832e-04 3.4433e+00 7.1060e-06 7.1060e-06 
7.1832e-04 3.4616e+00 6.3358e-06 6.3358e-06 
7.1832e-04 3.4800e+00 5.7750e-06 5.7750e-06 
7.1832e-04 3.4985e+00 5.3528e-06 5.3528e-06 
7.1832e-04 3.5171e+00 5.0258e-06 5.0258e-06 
7.1832e-04 3.5358e+00 4.7665e-06 4.7665e-06 
7.1832e-04 3.5546e+00 4.5566e-06 4.5566e-06 
7.1832e-04 3.5735e+00 4.3835e-06 4.3835e-06 
7.1832e-04 3.5925e+00 4.2387e-06 4.2387e-06 
7.1832e-04 3.6115e+00 4.1163e-06 4.1163e-06 
7.1832e-04 3.6307e+00 4.0103e-06 4.0103e-06 
7.1832e-04 3.6500e+00 3.9181e-06 3.9181e-06 
7.1832e-04 3.6694e+00 3.8371e-06 3.8371e-06 
7.1832e-04 3.6889e+00 3.7652e-06 3.7652e-06 
7.1832e-04 3.7085e+00 3.7012e-06 3.7012e-06 
7.1832e-04 3.7283e+00 3.6431e-06 3.6431e-06 
7.1832e-04 3.7481e+00 3.5907e-06 3.5907e-06 
7.1832e-04 3.7680e+00 3.5432e-06 3.5432e-06 
7.1832e-04 3.7880e+00 3.4997e-06 3.4997e-06 
7.1832e-04 3.8081e+00 3.4597e-06 3.4597e-06 
7.1832e-04 3.8284e+00 3.4226e-06 3.4226e-06 
7.1832e-04 3.8487e+00 3.3884e-06 3.3884e-06 
7.1832e-04 3.8692e+00 3.3563e-06 3.3563e-06 
7.1832e-04 3.8897e+00 3.3266e-06 3.3266e-06 
7.1832e-04 3.9104e+00 3.2984e-06 3.2984e-06 
7.1832e-04 3.9312e+00 3.2720e-06 3.2720e-06 
7.1832e-04 3.9521e+00 3.2473e-06 3.2473e-06 
7.1832e-04 3.9731e+00 3.2239e-06 3.2239e-06 
7.1832e-04 3.9942e+00 3.2018e-06 3.2018e-06 
7.1832e-04 4.0154e+00 3.1808e-06 3.1808e-06 
7.1832e-04 4.0368e+00 3.1607e-06 3.1607e-06 
7.1832e-04 4.0582e+00 3.1419e-06 3.1419e-06 
7.1832e-04 4.0798e+00 3.1241e-06 3.1241e-06 
7.1832e-04 4.1015e+00 3.1072e-06 3.1072e-06 
7.1832e-04 4.1233e+00 3.0912e-06 3.0912e-06 
7.1832e-04 4.1452e+00 3.0761e-06 3.0761e-06 
7.1832e-04 4.1672e+00 3.0618e-06 3.0618e-06 
7.1832e-04 4.1894e+00 3.0484e-06 3.0484e-06 
7.1832e-04 4.2117e+00 3.0357e-06 3.0357e-06 
