# This is ionized PAHs from DL (2007)
# nsize (number of sampled sizes in this file
# sizes (microns)
# n_size = 30 
#    3.0000E-04  3.3056E-04  3.6424E-04  4.0135E-04  4.4223E-04  4.8729E-04  5.3693E-04  5.9163E-04  6.5190E-04  7.1832E-04  7.9150E-04  8.7213E-04  9.6098E-04  1.0589E-03  1.1668E-03  1.2856E-03  1.4166E-03  1.5609E-03  1.7199E-03  1.8951E-03  2.0882E-03  2.3010E-03  2.5354E-03  2.7937E-03  3.0783E-03  3.3919E-03  3.7374E-03  4.1182E-03  4.5377E-03  5.0000E-03
#
# Index=	   0  radius=   0.0003000000
# Radius 	 Lambda 	 Qabs 	 Qext 
3.0000e-04 1.6239e-01 1.8111e-02 1.8111e-02 
3.0000e-04 1.6506e-01 1.8407e-02 1.8407e-02 
3.0000e-04 1.6777e-01 1.8815e-02 1.8815e-02 
3.0000e-04 1.7053e-01 1.9347e-02 1.9347e-02 
3.0000e-04 1.7333e-01 1.9990e-02 1.9990e-02 
3.0000e-04 1.7618e-01 2.0763e-02 2.0763e-02 
3.0000e-04 1.7907e-01 2.1690e-02 2.1690e-02 
3.0000e-04 1.8201e-01 2.2806e-02 2.2806e-02 
3.0000e-04 1.8500e-01 2.4153e-02 2.4153e-02 
3.0000e-04 1.8804e-01 2.5774e-02 2.5774e-02 
3.0000e-04 1.9113e-01 2.7721e-02 2.7721e-02 
3.0000e-04 1.9427e-01 3.0039e-02 3.0039e-02 
3.0000e-04 1.9746e-01 3.2749e-02 3.2749e-02 
3.0000e-04 2.0070e-01 3.5830e-02 3.5830e-02 
3.0000e-04 2.0400e-01 3.9182e-02 3.9182e-02 
3.0000e-04 2.0735e-01 4.2540e-02 4.2540e-02 
3.0000e-04 2.1076e-01 4.5481e-02 4.5481e-02 
3.0000e-04 2.1422e-01 4.7477e-02 4.7477e-02 
3.0000e-04 2.1774e-01 4.8073e-02 4.8073e-02 
3.0000e-04 2.2131e-01 4.7100e-02 4.7100e-02 
3.0000e-04 2.2495e-01 4.4778e-02 4.4778e-02 
3.0000e-04 2.2864e-01 4.1605e-02 4.1605e-02 
3.0000e-04 2.3240e-01 3.8086e-02 3.8086e-02 
3.0000e-04 2.3622e-01 3.4629e-02 3.4629e-02 
3.0000e-04 2.4010e-01 3.1466e-02 3.1466e-02 
3.0000e-04 2.4404e-01 2.8690e-02 2.8690e-02 
3.0000e-04 2.4805e-01 2.6308e-02 2.6308e-02 
3.0000e-04 2.5212e-01 2.4293e-02 2.4293e-02 
3.0000e-04 2.5627e-01 2.2588e-02 2.2588e-02 
3.0000e-04 2.6047e-01 2.1157e-02 2.1157e-02 
3.0000e-04 2.6475e-01 1.9946e-02 1.9946e-02 
3.0000e-04 2.6910e-01 1.8916e-02 1.8916e-02 
3.0000e-04 2.7352e-01 1.8036e-02 1.8036e-02 
3.0000e-04 2.7802e-01 1.7280e-02 1.7280e-02 
3.0000e-04 2.8258e-01 1.6629e-02 1.6629e-02 
3.0000e-04 2.8722e-01 1.6061e-02 1.6061e-02 
3.0000e-04 2.9194e-01 1.5563e-02 1.5563e-02 
3.0000e-04 2.9674e-01 1.5124e-02 1.5124e-02 
3.0000e-04 3.0161e-01 1.4736e-02 1.4736e-02 
3.0000e-04 3.0657e-01 9.4585e-03 9.4585e-03 
3.0000e-04 3.1160e-01 8.0550e-03 8.0550e-03 
3.0000e-04 3.1672e-01 7.0244e-03 7.0244e-03 
3.0000e-04 3.2192e-01 6.3640e-03 6.3640e-03 
3.0000e-04 3.2721e-01 5.9583e-03 5.9583e-03 
3.0000e-04 3.3258e-01 5.6851e-03 5.6851e-03 
3.0000e-04 3.3805e-01 5.4372e-03 5.4372e-03 
3.0000e-04 3.4360e-01 5.1289e-03 5.1289e-03 
3.0000e-04 3.4924e-01 4.6917e-03 4.6917e-03 
3.0000e-04 3.5498e-01 4.0806e-03 4.0806e-03 
3.0000e-04 3.6081e-01 3.3076e-03 3.3076e-03 
3.0000e-04 3.6674e-01 2.4806e-03 2.4806e-03 
3.0000e-04 3.7276e-01 1.7606e-03 1.7606e-03 
3.0000e-04 3.7888e-01 1.2275e-03 1.2275e-03 
3.0000e-04 3.8511e-01 8.6399e-04 8.6399e-04 
3.0000e-04 3.9143e-01 6.2219e-04 6.2219e-04 
3.0000e-04 3.9786e-01 4.5946e-04 4.5946e-04 
3.0000e-04 4.0440e-01 3.4780e-04 3.4780e-04 
3.0000e-04 4.1104e-01 2.6952e-04 2.6952e-04 
3.0000e-04 4.1779e-01 2.1327e-04 2.1327e-04 
3.0000e-04 4.2466e-01 1.7199e-04 1.7199e-04 
3.0000e-04 4.3163e-01 1.4120e-04 1.4120e-04 
3.0000e-04 4.3872e-01 1.1779e-04 1.1779e-04 
3.0000e-04 4.4593e-01 9.9711e-05 9.9711e-05 
3.0000e-04 4.5325e-01 8.5571e-05 8.5571e-05 
3.0000e-04 4.6070e-01 7.4340e-05 7.4340e-05 
3.0000e-04 4.6826e-01 6.5357e-05 6.5357e-05 
3.0000e-04 4.7596e-01 5.8048e-05 5.8048e-05 
3.0000e-04 4.8377e-01 5.2063e-05 5.2063e-05 
3.0000e-04 4.9172e-01 4.7109e-05 4.7109e-05 
3.0000e-04 4.9980e-01 4.2971e-05 4.2971e-05 
3.0000e-04 5.0801e-01 3.9482e-05 3.9482e-05 
3.0000e-04 5.1635e-01 3.6518e-05 3.6518e-05 
3.0000e-04 5.2483e-01 3.3985e-05 3.3985e-05 
3.0000e-04 5.3345e-01 3.1797e-05 3.1797e-05 
3.0000e-04 5.4222e-01 2.9890e-05 2.9890e-05 
3.0000e-04 5.5112e-01 2.8229e-05 2.8229e-05 
3.0000e-04 5.6018e-01 2.6762e-05 2.6762e-05 
3.0000e-04 5.6938e-01 2.5460e-05 2.5460e-05 
3.0000e-04 5.7873e-01 2.4295e-05 2.4295e-05 
3.0000e-04 5.8824e-01 2.3247e-05 2.3247e-05 
3.0000e-04 5.9790e-01 2.2298e-05 2.2298e-05 
3.0000e-04 6.0772e-01 2.1434e-05 2.1434e-05 
3.0000e-04 6.1770e-01 2.0639e-05 2.0639e-05 
