U=1.000 
ngas=6.000e+06 (cm-3) 
mean_lam=1.300 (um) 
gamma=0.700 
amax=2.500 (um) 
dust_composition=astro 
! 
Av= 0.000,14.796,41.154,221.104,10886.093
! 
NH= 0.00000e+00,2.14542e+22,5.96732e+22,3.20601e+23,1.57848e+25
! 
w	 p(Av=0.000)	 I(Av=0.000)	 p(Av=14.796)	 I(Av=14.796)	 p(Av=41.154)	 I(Av=41.154)	 p(Av=221.104)	 I(Av=221.104)	 p(Av=10886.093)	 I(Av=10886.093)
1.531e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.549e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.567e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.585e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.603e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.622e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.641e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.660e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.679e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.698e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.718e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.738e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.758e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.778e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.799e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.820e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.841e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.862e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.884e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.905e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.928e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.950e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.972e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
1.995e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.018e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.042e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.065e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.089e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.113e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.138e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.163e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.188e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.213e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.239e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.265e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.291e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.317e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.344e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.371e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.399e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.427e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.455e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.483e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.512e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.541e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.570e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.600e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.630e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.661e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.691e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.723e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.754e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.786e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.818e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.851e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.884e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.917e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.951e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
2.985e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.020e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.055e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.090e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.126e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.162e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.199e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.236e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.273e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.311e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.350e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.388e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.428e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.467e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.507e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.548e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.589e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.631e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.673e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.715e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.758e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.802e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.846e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.891e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.936e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
3.981e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.027e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.074e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.121e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.169e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.217e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.266e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.315e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.365e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.416e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.467e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.519e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.571e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
