U=1.000 
ngas=6.000e+06 (cm-3) 
mean_lam=1.300 (um) 
gamma=0.700 
amax=2.500 (um) 
dust_composition=astro 
! 
Av= 0.000,14.796,41.154,221.104,10886.093
! 
NH= 0.00000e+00,2.14542e+22,5.96732e+22,3.20601e+23,1.57848e+25
! 
w	 p(Av=0.000)	 p(Av=14.796)	 p(Av=41.154)	 p(Av=221.104)	 p(Av=10886.093)
1.928e-01	 -1.023e+02	 1.036e+00	 1.364e+00	 1.173e+00	 nan	 
1.950e-01	 -1.051e+02	 1.074e+00	 1.414e+00	 1.214e+00	 nan	 
1.972e-01	 -1.078e+02	 1.097e+00	 1.443e+00	 1.238e+00	 nan	 
1.995e-01	 -1.075e+02	 1.084e+00	 1.419e+00	 1.213e+00	 nan	 
2.018e-01	 -1.074e+02	 1.090e+00	 1.434e+00	 1.233e+00	 nan	 
2.042e-01	 -1.097e+02	 1.119e+00	 1.473e+00	 1.259e+00	 nan	 
2.065e-01	 -1.121e+02	 1.138e+00	 1.492e+00	 1.270e+00	 nan	 
2.089e-01	 -1.128e+02	 1.142e+00	 1.495e+00	 1.273e+00	 nan	 
2.113e-01	 -1.125e+02	 1.142e+00	 1.498e+00	 1.277e+00	 nan	 
2.138e-01	 -1.147e+02	 1.167e+00	 1.530e+00	 1.303e+00	 nan	 
2.163e-01	 -1.179e+02	 1.198e+00	 1.567e+00	 1.333e+00	 nan	 
2.188e-01	 -1.192e+02	 1.208e+00	 1.577e+00	 1.341e+00	 nan	 
2.213e-01	 -1.192e+02	 1.208e+00	 1.578e+00	 1.340e+00	 nan	 
2.239e-01	 -1.208e+02	 1.229e+00	 1.609e+00	 1.369e+00	 nan	 
2.265e-01	 -1.231e+02	 1.248e+00	 1.629e+00	 1.379e+00	 nan	 
2.291e-01	 -1.256e+02	 1.274e+00	 1.660e+00	 1.405e+00	 nan	 
2.317e-01	 -1.273e+02	 1.293e+00	 1.688e+00	 1.433e+00	 nan	 
2.344e-01	 -1.269e+02	 1.290e+00	 1.688e+00	 1.433e+00	 nan	 
2.371e-01	 -1.295e+02	 1.316e+00	 1.720e+00	 1.456e+00	 nan	 
2.399e-01	 -1.329e+02	 1.350e+00	 1.755e+00	 1.479e+00	 nan	 
2.427e-01	 -1.351e+02	 1.373e+00	 1.786e+00	 1.507e+00	 nan	 
2.455e-01	 -1.349e+02	 1.370e+00	 1.783e+00	 1.503e+00	 nan	 
2.483e-01	 -1.366e+02	 1.386e+00	 1.803e+00	 1.520e+00	 nan	 
2.512e-01	 -1.394e+02	 1.415e+00	 1.841e+00	 1.550e+00	 nan	 
2.541e-01	 -1.425e+02	 1.448e+00	 1.882e+00	 1.580e+00	 nan	 
2.570e-01	 -1.439e+02	 1.462e+00	 1.896e+00	 1.591e+00	 nan	 
2.600e-01	 -1.442e+02	 1.464e+00	 1.901e+00	 1.598e+00	 nan	 
2.630e-01	 -1.468e+02	 1.488e+00	 1.930e+00	 1.619e+00	 nan	 
2.661e-01	 -1.500e+02	 1.523e+00	 1.973e+00	 1.651e+00	 nan	 
2.691e-01	 -1.531e+02	 1.559e+00	 2.022e+00	 1.690e+00	 nan	 
2.723e-01	 -1.541e+02	 1.567e+00	 2.032e+00	 1.702e+00	 nan	 
2.754e-01	 -1.553e+02	 1.574e+00	 2.039e+00	 1.709e+00	 nan	 
2.786e-01	 -1.585e+02	 1.609e+00	 2.085e+00	 1.744e+00	 nan	 
2.818e-01	 -1.619e+02	 1.648e+00	 2.139e+00	 1.786e+00	 nan	 
2.851e-01	 -1.644e+02	 1.672e+00	 2.163e+00	 1.798e+00	 nan	 
2.884e-01	 -1.651e+02	 1.677e+00	 2.172e+00	 1.813e+00	 nan	 
2.917e-01	 -1.675e+02	 1.698e+00	 2.196e+00	 1.830e+00	 nan	 
2.951e-01	 -1.707e+02	 1.735e+00	 2.245e+00	 1.872e+00	 nan	 
2.985e-01	 -1.742e+02	 1.774e+00	 2.297e+00	 1.906e+00	 nan	 
3.020e-01	 -1.771e+02	 1.805e+00	 2.338e+00	 1.943e+00	 nan	 
3.055e-01	 -1.780e+02	 1.810e+00	 2.342e+00	 1.941e+00	 nan	 
3.090e-01	 -1.807e+02	 1.834e+00	 2.369e+00	 1.969e+00	 nan	 
3.126e-01	 -1.844e+02	 1.878e+00	 2.433e+00	 2.022e+00	 nan	 
3.162e-01	 -1.883e+02	 1.924e+00	 2.496e+00	 2.070e+00	 nan	 
3.199e-01	 -1.903e+02	 1.943e+00	 2.517e+00	 2.088e+00	 nan	 
3.236e-01	 -1.916e+02	 1.948e+00	 2.517e+00	 2.085e+00	 nan	 
3.273e-01	 -1.951e+02	 1.984e+00	 2.561e+00	 2.123e+00	 nan	 
3.311e-01	 -1.991e+02	 2.033e+00	 2.633e+00	 2.181e+00	 nan	 
3.350e-01	 -2.031e+02	 2.081e+00	 2.702e+00	 2.236e+00	 nan	 
3.388e-01	 -2.052e+02	 2.100e+00	 2.724e+00	 2.255e+00	 nan	 
3.428e-01	 -2.069e+02	 2.110e+00	 2.726e+00	 2.257e+00	 nan	 
3.467e-01	 -2.107e+02	 2.151e+00	 2.778e+00	 2.299e+00	 nan	 
3.507e-01	 -2.145e+02	 2.197e+00	 2.848e+00	 2.352e+00	 nan	 
3.548e-01	 -2.184e+02	 2.244e+00	 2.913e+00	 2.407e+00	 nan	 
3.589e-01	 -2.207e+02	 2.263e+00	 2.927e+00	 2.415e+00	 nan	 
3.631e-01	 -2.233e+02	 2.286e+00	 2.953e+00	 2.437e+00	 nan	 
3.673e-01	 -2.272e+02	 2.331e+00	 3.015e+00	 2.488e+00	 nan	 
3.715e-01	 -2.308e+02	 2.376e+00	 3.082e+00	 2.544e+00	 nan	 
3.758e-01	 -2.354e+02	 2.433e+00	 3.164e+00	 2.616e+00	 nan	 
3.802e-01	 -2.375e+02	 2.447e+00	 3.169e+00	 2.609e+00	 nan	 
3.846e-01	 -2.404e+02	 2.476e+00	 3.202e+00	 2.639e+00	 nan	 
3.891e-01	 -2.444e+02	 2.524e+00	 3.267e+00	 2.693e+00	 nan	 
