U=1.000 
ngas=6.000e+06 (cm-3) 
mean_lam=1.300 (um) 
gamma=0.700 
amax=2.500 (um) 
dust_composition=astro 
! 
Av= 0.000,14.796,41.154,221.104,10886.093
! 
NH= 0.00000e+00,2.14542e+22,5.96732e+22,3.20601e+23,1.57848e+25
! 
w	 p(Av=0.000)	 p(Av=14.796)	 p(Av=41.154)	 p(Av=221.104)	 p(Av=10886.093)
2.455e+00	 -3.671e+02	 6.399e+00	 1.462e+01	 1.669e+01	 nan	 
2.483e+00	 -3.656e+02	 6.376e+00	 1.462e+01	 1.678e+01	 nan	 
2.512e+00	 -3.639e+02	 6.350e+00	 1.462e+01	 1.687e+01	 nan	 
2.541e+00	 -3.625e+02	 6.328e+00	 1.462e+01	 1.697e+01	 nan	 
2.570e+00	 -3.609e+02	 6.304e+00	 1.461e+01	 1.706e+01	 nan	 
2.600e+00	 -3.595e+02	 6.282e+00	 1.461e+01	 1.717e+01	 nan	 
2.630e+00	 -3.581e+02	 6.260e+00	 1.461e+01	 1.727e+01	 nan	 
2.661e+00	 -3.564e+02	 6.233e+00	 1.459e+01	 1.735e+01	 nan	 
2.691e+00	 -3.550e+02	 6.211e+00	 1.458e+01	 1.745e+01	 nan	 
2.723e+00	 -3.537e+02	 6.190e+00	 1.458e+01	 1.755e+01	 nan	 
2.754e+00	 -3.523e+02	 6.167e+00	 1.457e+01	 1.765e+01	 nan	 
2.786e+00	 -3.511e+02	 6.147e+00	 1.456e+01	 1.776e+01	 nan	 
2.818e+00	 -3.498e+02	 6.127e+00	 1.455e+01	 1.786e+01	 nan	 
2.851e+00	 -3.484e+02	 6.104e+00	 1.454e+01	 1.794e+01	 nan	 
2.884e+00	 -3.471e+02	 6.082e+00	 1.452e+01	 1.802e+01	 nan	 
2.917e+00	 -3.461e+02	 6.065e+00	 1.452e+01	 1.814e+01	 nan	 
2.951e+00	 -3.450e+02	 6.047e+00	 1.450e+01	 1.823e+01	 nan	 
2.985e+00	 -3.438e+02	 6.027e+00	 1.449e+01	 1.832e+01	 nan	 
3.020e+00	 -3.430e+02	 6.014e+00	 1.449e+01	 1.844e+01	 nan	 
3.055e+00	 -3.422e+02	 6.001e+00	 1.449e+01	 1.855e+01	 nan	 
3.090e+00	 -3.411e+02	 5.982e+00	 1.448e+01	 1.864e+01	 nan	 
3.126e+00	 -3.403e+02	 5.970e+00	 1.448e+01	 1.875e+01	 nan	 
3.162e+00	 -3.394e+02	 5.956e+00	 1.448e+01	 1.886e+01	 nan	 
3.199e+00	 -3.384e+02	 5.939e+00	 1.447e+01	 1.897e+01	 nan	 
3.236e+00	 -3.371e+02	 5.917e+00	 1.445e+01	 1.905e+01	 nan	 
3.273e+00	 -3.355e+02	 5.892e+00	 1.442e+01	 1.914e+01	 nan	 
3.311e+00	 -3.333e+02	 5.853e+00	 1.435e+01	 1.920e+01	 nan	 
3.350e+00	 -3.303e+02	 5.797e+00	 1.422e+01	 1.913e+01	 nan	 
3.388e+00	 -3.355e+02	 5.876e+00	 1.436e+01	 1.927e+01	 nan	 
3.428e+00	 -3.378e+02	 5.919e+00	 1.449e+01	 1.951e+01	 nan	 
3.467e+00	 -3.400e+02	 5.962e+00	 1.463e+01	 1.977e+01	 nan	 
3.507e+00	 -3.406e+02	 5.980e+00	 1.474e+01	 2.007e+01	 nan	 
3.548e+00	 -3.399e+02	 5.974e+00	 1.478e+01	 2.029e+01	 nan	 
3.589e+00	 -3.377e+02	 5.943e+00	 1.477e+01	 2.049e+01	 nan	 
3.631e+00	 -3.343e+02	 5.887e+00	 1.468e+01	 2.056e+01	 nan	 
3.673e+00	 -3.319e+02	 5.847e+00	 1.461e+01	 2.062e+01	 nan	 
3.715e+00	 -3.301e+02	 5.817e+00	 1.457e+01	 2.071e+01	 nan	 
3.758e+00	 -3.283e+02	 5.785e+00	 1.452e+01	 2.078e+01	 nan	 
3.802e+00	 -3.266e+02	 5.757e+00	 1.447e+01	 2.086e+01	 nan	 
3.846e+00	 -3.250e+02	 5.731e+00	 1.444e+01	 2.094e+01	 nan	 
3.891e+00	 -3.234e+02	 5.703e+00	 1.439e+01	 2.103e+01	 nan	 
3.935e+00	 -3.218e+02	 5.676e+00	 1.435e+01	 2.111e+01	 nan	 
3.981e+00	 -3.200e+02	 5.646e+00	 1.429e+01	 2.117e+01	 nan	 
4.027e+00	 -3.184e+02	 5.618e+00	 1.425e+01	 2.124e+01	 nan	 
4.074e+00	 -3.168e+02	 5.591e+00	 1.420e+01	 2.132e+01	 nan	 
4.121e+00	 -3.151e+02	 5.562e+00	 1.415e+01	 2.138e+01	 nan	 
4.169e+00	 -3.133e+02	 5.530e+00	 1.408e+01	 2.142e+01	 nan	 
4.217e+00	 -3.117e+02	 5.502e+00	 1.403e+01	 2.147e+01	 nan	 
4.266e+00	 -3.100e+02	 5.473e+00	 1.397e+01	 2.152e+01	 nan	 
4.315e+00	 -3.084e+02	 5.445e+00	 1.392e+01	 2.156e+01	 nan	 
4.365e+00	 -3.068e+02	 5.416e+00	 1.386e+01	 2.160e+01	 nan	 
4.416e+00	 -3.052e+02	 5.388e+00	 1.380e+01	 2.164e+01	 nan	 
4.467e+00	 -3.035e+02	 5.358e+00	 1.374e+01	 2.166e+01	 nan	 
4.519e+00	 -3.019e+02	 5.331e+00	 1.368e+01	 2.169e+01	 nan	 
4.571e+00	 -3.003e+02	 5.302e+00	 1.362e+01	 2.172e+01	 nan	 
4.624e+00	 -2.988e+02	 5.275e+00	 1.356e+01	 2.174e+01	 nan	 
4.677e+00	 -2.973e+02	 5.249e+00	 1.350e+01	 2.177e+01	 nan	 
4.732e+00	 -2.958e+02	 5.222e+00	 1.344e+01	 2.178e+01	 nan	 
4.786e+00	 -2.943e+02	 5.196e+00	 1.338e+01	 2.180e+01	 nan	 
4.842e+00	 -2.926e+02	 5.165e+00	 1.331e+01	 2.178e+01	 nan	 
4.898e+00	 -2.912e+02	 5.139e+00	 1.325e+01	 2.178e+01	 nan	 
4.955e+00	 -2.899e+02	 5.116e+00	 1.319e+01	 2.180e+01	 nan	 
5.012e+00	 -2.885e+02	 5.091e+00	 1.314e+01	 2.181e+01	 nan	 
5.070e+00	 -2.870e+02	 5.063e+00	 1.307e+01	 2.180e+01	 nan	 
5.129e+00	 -2.855e+02	 5.038e+00	 1.301e+01	 2.180e+01	 nan	 
5.188e+00	 -2.840e+02	 5.011e+00	 1.295e+01	 2.178e+01	 nan	 
5.248e+00	 -2.826e+02	 4.985e+00	 1.288e+01	 2.177e+01	 nan	 
5.309e+00	 -2.811e+02	 4.958e+00	 1.282e+01	 2.175e+01	 nan	 
5.370e+00	 -2.796e+02	 4.932e+00	 1.276e+01	 2.174e+01	 nan	 
5.432e+00	 -2.782e+02	 4.906e+00	 1.269e+01	 2.173e+01	 nan	 
5.495e+00	 -2.767e+02	 4.879e+00	 1.263e+01	 2.170e+01	 nan	 
5.559e+00	 -2.751e+02	 4.850e+00	 1.256e+01	 2.166e+01	 nan	 
5.623e+00	 -2.736e+02	 4.823e+00	 1.249e+01	 2.163e+01	 nan	 
5.688e+00	 -2.720e+02	 4.795e+00	 1.242e+01	 2.161e+01	 nan	 
5.754e+00	 -2.705e+02	 4.769e+00	 1.236e+01	 2.159e+01	 nan	 
5.821e+00	 -2.689e+02	 4.739e+00	 1.228e+01	 2.154e+01	 nan	 
5.888e+00	 -2.671e+02	 4.708e+00	 1.220e+01	 2.149e+01	 nan	 
5.957e+00	 -2.656e+02	 4.680e+00	 1.213e+01	 2.145e+01	 nan	 
6.026e+00	 -2.639e+02	 4.650e+00	 1.206e+01	 2.139e+01	 nan	 
6.095e+00	 -2.621e+02	 4.617e+00	 1.197e+01	 2.132e+01	 nan	 
6.166e+00	 -2.602e+02	 4.584e+00	 1.189e+01	 2.124e+01	 nan	 
6.237e+00	 -2.584e+02	 4.552e+00	 1.181e+01	 2.118e+01	 nan	 
6.310e+00	 -2.564e+02	 4.516e+00	 1.172e+01	 2.108e+01	 nan	 
6.383e+00	 -2.545e+02	 4.482e+00	 1.163e+01	 2.099e+01	 nan	 
6.457e+00	 -2.524e+02	 4.444e+00	 1.153e+01	 2.088e+01	 nan	 
6.531e+00	 -2.503e+02	 4.406e+00	 1.143e+01	 2.077e+01	 nan	 
6.607e+00	 -2.479e+02	 4.364e+00	 1.132e+01	 2.063e+01	 nan	 
6.683e+00	 -2.455e+02	 4.319e+00	 1.120e+01	 2.048e+01	 nan	 
6.761e+00	 -2.425e+02	 4.266e+00	 1.106e+01	 2.028e+01	 nan	 
6.839e+00	 -2.424e+02	 4.261e+00	 1.103e+01	 2.018e+01	 nan	 
6.918e+00	 -2.408e+02	 4.236e+00	 1.098e+01	 2.022e+01	 nan	 
6.998e+00	 -2.368e+02	 4.164e+00	 1.079e+01	 1.995e+01	 nan	 
7.080e+00	 -2.338e+02	 4.111e+00	 1.066e+01	 1.975e+01	 nan	 
7.161e+00	 -2.307e+02	 4.055e+00	 1.051e+01	 1.952e+01	 nan	 
7.244e+00	 -2.275e+02	 3.997e+00	 1.035e+01	 1.927e+01	 nan	 
7.328e+00	 -2.240e+02	 3.935e+00	 1.019e+01	 1.901e+01	 nan	 
7.413e+00	 -2.205e+02	 3.872e+00	 1.002e+01	 1.874e+01	 nan	 
7.499e+00	 -2.166e+02	 3.803e+00	 9.836e+00	 1.843e+01	 nan	 
7.586e+00	 -2.123e+02	 3.727e+00	 9.634e+00	 1.808e+01	 nan	 
7.674e+00	 -2.077e+02	 3.644e+00	 9.414e+00	 1.770e+01	 nan	 
7.762e+00	 -2.023e+02	 3.547e+00	 9.157e+00	 1.725e+01	 nan	 
7.852e+00	 -1.955e+02	 3.425e+00	 8.831e+00	 1.664e+01	 nan	 
7.943e+00	 -1.887e+02	 3.304e+00	 8.498e+00	 1.598e+01	 nan	 
8.035e+00	 -1.826e+02	 3.192e+00	 8.183e+00	 1.531e+01	 nan	 
8.128e+00	 -1.771e+02	 3.091e+00	 7.892e+00	 1.465e+01	 nan	 
8.222e+00	 -1.726e+02	 3.005e+00	 7.637e+00	 1.403e+01	 nan	 
8.318e+00	 -1.707e+02	 2.965e+00	 7.484e+00	 1.353e+01	 nan	 
8.414e+00	 -1.713e+02	 2.969e+00	 7.453e+00	 1.329e+01	 nan	 
8.511e+00	 -1.734e+02	 3.001e+00	 7.501e+00	 1.322e+01	 nan	 
8.610e+00	 -1.718e+02	 2.968e+00	 7.397e+00	 1.295e+01	 nan	 
8.710e+00	 -1.653e+02	 2.849e+00	 7.053e+00	 1.216e+01	 nan	 
8.811e+00	 -1.662e+02	 2.853e+00	 6.994e+00	 1.175e+01	 nan	 
8.913e+00	 -1.737e+02	 2.973e+00	 7.231e+00	 1.187e+01	 nan	 
9.016e+00	 -1.826e+02	 3.116e+00	 7.526e+00	 1.211e+01	 nan	 
9.120e+00	 -1.940e+02	 3.303e+00	 7.923e+00	 1.249e+01	 nan	 
9.226e+00	 -2.112e+02	 3.588e+00	 8.556e+00	 1.325e+01	 nan	 
9.333e+00	 -2.345e+02	 3.978e+00	 9.452e+00	 1.444e+01	 nan	 
9.441e+00	 -2.626e+02	 4.453e+00	 1.057e+01	 1.605e+01	 nan	 
9.550e+00	 -2.931e+02	 4.974e+00	 1.182e+01	 1.794e+01	 nan	 
9.660e+00	 -3.247e+02	 5.516e+00	 1.315e+01	 2.002e+01	 nan	 
9.772e+00	 -3.561e+02	 6.061e+00	 1.451e+01	 2.226e+01	 nan	 
9.885e+00	 -3.859e+02	 6.583e+00	 1.584e+01	 2.456e+01	 nan	 
1.000e+01	 -4.121e+02	 7.046e+00	 1.705e+01	 2.678e+01	 nan	 
1.012e+01	 -4.332e+02	 7.426e+00	 1.809e+01	 2.884e+01	 nan	 
1.023e+01	 -4.481e+02	 7.701e+00	 1.889e+01	 3.059e+01	 nan	 
1.035e+01	 -4.576e+02	 7.883e+00	 1.945e+01	 3.199e+01	 nan	 
1.047e+01	 -4.637e+02	 8.005e+00	 1.986e+01	 3.315e+01	 nan	 
1.059e+01	 -4.679e+02	 8.094e+00	 2.018e+01	 3.418e+01	 nan	 
1.072e+01	 -4.703e+02	 8.149e+00	 2.042e+01	 3.505e+01	 nan	 
1.084e+01	 -4.715e+02	 8.185e+00	 2.060e+01	 3.586e+01	 nan	 
1.097e+01	 -4.714e+02	 8.196e+00	 2.072e+01	 3.657e+01	 nan	 
1.109e+01	 -4.696e+02	 8.179e+00	 2.078e+01	 3.720e+01	 nan	 
1.122e+01	 -4.653e+02	 8.120e+00	 2.072e+01	 3.768e+01	 nan	 
1.135e+01	 -4.571e+02	 7.991e+00	 2.049e+01	 3.788e+01	 nan	 
1.148e+01	 -4.461e+02	 7.809e+00	 2.011e+01	 3.773e+01	 nan	 
1.161e+01	 -4.352e+02	 7.629e+00	 1.971e+01	 3.751e+01	 nan	 
1.175e+01	 -4.243e+02	 7.446e+00	 1.930e+01	 3.721e+01	 nan	 
1.189e+01	 -4.126e+02	 7.249e+00	 1.885e+01	 3.683e+01	 nan	 
1.202e+01	 -3.991e+02	 7.020e+00	 1.831e+01	 3.626e+01	 nan	 
1.216e+01	 -3.834e+02	 6.751e+00	 1.765e+01	 3.543e+01	 nan	 
1.230e+01	 -3.662e+02	 6.452e+00	 1.691e+01	 3.431e+01	 nan	 
1.244e+01	 -3.486e+02	 6.144e+00	 1.612e+01	 3.299e+01	 nan	 
1.259e+01	 -3.325e+02	 5.860e+00	 1.537e+01	 3.160e+01	 nan	 
1.273e+01	 -3.203e+02	 5.642e+00	 1.479e+01	 3.042e+01	 nan	 
1.288e+01	 -3.116e+02	 5.486e+00	 1.436e+01	 2.952e+01	 nan	 
1.303e+01	 -3.040e+02	 5.350e+00	 1.399e+01	 2.877e+01	 nan	 
1.318e+01	 -2.966e+02	 5.217e+00	 1.363e+01	 2.800e+01	 nan	 
1.334e+01	 -2.905e+02	 5.109e+00	 1.334e+01	 2.739e+01	 nan	 
1.349e+01	 -2.843e+02	 4.998e+00	 1.304e+01	 2.675e+01	 nan	 
1.365e+01	 -2.784e+02	 4.892e+00	 1.275e+01	 2.613e+01	 nan	 
1.380e+01	 -2.728e+02	 4.791e+00	 1.247e+01	 2.552e+01	 nan	 
1.396e+01	 -2.676e+02	 4.697e+00	 1.221e+01	 2.495e+01	 nan	 
1.412e+01	 -2.628e+02	 4.611e+00	 1.197e+01	 2.440e+01	 nan	 
1.429e+01	 -2.586e+02	 4.534e+00	 1.176e+01	 2.388e+01	 nan	 
1.445e+01	 -2.549e+02	 4.466e+00	 1.156e+01	 2.341e+01	 nan	 
1.462e+01	 -2.519e+02	 4.412e+00	 1.141e+01	 2.300e+01	 nan	 
1.479e+01	 -2.498e+02	 4.371e+00	 1.128e+01	 2.265e+01	 nan	 
1.496e+01	 -2.487e+02	 4.349e+00	 1.121e+01	 2.239e+01	 nan	 
1.514e+01	 -2.486e+02	 4.344e+00	 1.117e+01	 2.222e+01	 nan	 
1.531e+01	 -2.497e+02	 4.360e+00	 1.119e+01	 2.215e+01	 nan	 
1.549e+01	 -2.518e+02	 4.394e+00	 1.126e+01	 2.218e+01	 nan	 
1.567e+01	 -2.550e+02	 4.446e+00	 1.138e+01	 2.230e+01	 nan	 
1.585e+01	 -2.591e+02	 4.516e+00	 1.154e+01	 2.253e+01	 nan	 
1.603e+01	 -2.643e+02	 4.605e+00	 1.175e+01	 2.285e+01	 nan	 
1.622e+01	 -2.705e+02	 4.710e+00	 1.201e+01	 2.327e+01	 nan	 
1.641e+01	 -2.774e+02	 4.829e+00	 1.230e+01	 2.376e+01	 nan	 
1.660e+01	 -2.852e+02	 4.962e+00	 1.263e+01	 2.435e+01	 nan	 
1.679e+01	 -2.936e+02	 5.107e+00	 1.299e+01	 2.501e+01	 nan	 
1.698e+01	 -3.022e+02	 5.258e+00	 1.337e+01	 2.572e+01	 nan	 
1.718e+01	 -3.110e+02	 5.410e+00	 1.376e+01	 2.646e+01	 nan	 
1.738e+01	 -3.198e+02	 5.563e+00	 1.415e+01	 2.723e+01	 nan	 
1.758e+01	 -3.284e+02	 5.713e+00	 1.453e+01	 2.800e+01	 nan	 
1.778e+01	 -3.367e+02	 5.858e+00	 1.491e+01	 2.878e+01	 nan	 
1.799e+01	 -3.444e+02	 5.994e+00	 1.526e+01	 2.952e+01	 nan	 
1.820e+01	 -3.515e+02	 6.119e+00	 1.560e+01	 3.024e+01	 nan	 
1.841e+01	 -3.578e+02	 6.232e+00	 1.589e+01	 3.091e+01	 nan	 
1.862e+01	 -3.631e+02	 6.325e+00	 1.615e+01	 3.150e+01	 nan	 
1.884e+01	 -3.672e+02	 6.400e+00	 1.635e+01	 3.202e+01	 nan	 
1.906e+01	 -3.698e+02	 6.447e+00	 1.649e+01	 3.241e+01	 nan	 
1.927e+01	 -3.713e+02	 6.476e+00	 1.658e+01	 3.270e+01	 nan	 
1.950e+01	 -3.710e+02	 6.473e+00	 1.659e+01	 3.285e+01	 nan	 
1.972e+01	 -3.695e+02	 6.448e+00	 1.654e+01	 3.287e+01	 nan	 
1.995e+01	 -3.665e+02	 6.397e+00	 1.642e+01	 3.275e+01	 nan	 
2.018e+01	 -3.635e+02	 6.347e+00	 1.630e+01	 3.259e+01	 nan	 
2.042e+01	 -3.604e+02	 6.293e+00	 1.617e+01	 3.241e+01	 nan	 
2.065e+01	 -3.572e+02	 6.238e+00	 1.604e+01	 3.221e+01	 nan	 
2.089e+01	 -3.541e+02	 6.186e+00	 1.591e+01	 3.202e+01	 nan	 
2.114e+01	 -3.513e+02	 6.138e+00	 1.579e+01	 3.184e+01	 nan	 
2.138e+01	 -3.482e+02	 6.084e+00	 1.566e+01	 3.162e+01	 nan	 
2.163e+01	 -3.451e+02	 6.031e+00	 1.552e+01	 3.141e+01	 nan	 
2.188e+01	 -3.419e+02	 5.975e+00	 1.539e+01	 3.119e+01	 nan	 
2.213e+01	 -3.380e+02	 5.908e+00	 1.522e+01	 3.091e+01	 nan	 
2.239e+01	 -3.333e+02	 5.828e+00	 1.502e+01	 3.056e+01	 nan	 
2.265e+01	 -3.283e+02	 5.740e+00	 1.480e+01	 3.016e+01	 nan	 
2.291e+01	 -3.224e+02	 5.638e+00	 1.454e+01	 2.968e+01	 nan	 
2.317e+01	 -3.159e+02	 5.524e+00	 1.425e+01	 2.914e+01	 nan	 
2.344e+01	 -3.094e+02	 5.412e+00	 1.397e+01	 2.859e+01	 nan	 
2.371e+01	 -3.026e+02	 5.293e+00	 1.366e+01	 2.800e+01	 nan	 
2.399e+01	 -2.958e+02	 5.174e+00	 1.336e+01	 2.740e+01	 nan	 
2.427e+01	 -2.890e+02	 5.055e+00	 1.305e+01	 2.680e+01	 nan	 
2.455e+01	 -2.822e+02	 4.937e+00	 1.275e+01	 2.619e+01	 nan	 
2.483e+01	 -2.754e+02	 4.818e+00	 1.244e+01	 2.557e+01	 nan	 
2.512e+01	 -2.687e+02	 4.700e+00	 1.213e+01	 2.495e+01	 nan	 
2.541e+01	 -2.623e+02	 4.588e+00	 1.184e+01	 2.436e+01	 nan	 
2.570e+01	 -2.559e+02	 4.477e+00	 1.156e+01	 2.377e+01	 nan	 
2.600e+01	 -2.495e+02	 4.365e+00	 1.127e+01	 2.317e+01	 nan	 
2.630e+01	 -2.433e+02	 4.256e+00	 1.098e+01	 2.259e+01	 nan	 
2.661e+01	 -2.372e+02	 4.149e+00	 1.071e+01	 2.202e+01	 nan	 
2.692e+01	 -2.314e+02	 4.046e+00	 1.044e+01	 2.146e+01	 nan	 
2.723e+01	 -2.254e+02	 3.942e+00	 1.017e+01	 2.090e+01	 nan	 
2.754e+01	 -2.197e+02	 3.841e+00	 9.906e+00	 2.036e+01	 nan	 
2.786e+01	 -2.140e+02	 3.741e+00	 9.645e+00	 1.981e+01	 nan	 
2.818e+01	 -2.084e+02	 3.643e+00	 9.390e+00	 1.928e+01	 nan	 
2.851e+01	 -2.030e+02	 3.548e+00	 9.143e+00	 1.876e+01	 nan	 
2.884e+01	 -1.976e+02	 3.454e+00	 8.901e+00	 1.825e+01	 nan	 
2.917e+01	 -1.925e+02	 3.363e+00	 8.664e+00	 1.776e+01	 nan	 
2.951e+01	 -1.873e+02	 3.273e+00	 8.429e+00	 1.727e+01	 nan	 
2.985e+01	 -1.824e+02	 3.187e+00	 8.205e+00	 1.679e+01	 nan	 
3.020e+01	 -1.776e+02	 3.103e+00	 7.986e+00	 1.633e+01	 nan	 
3.055e+01	 -1.728e+02	 3.019e+00	 7.769e+00	 1.588e+01	 nan	 
3.090e+01	 -1.682e+02	 2.938e+00	 7.558e+00	 1.543e+01	 nan	 
3.126e+01	 -1.637e+02	 2.859e+00	 7.352e+00	 1.500e+01	 nan	 
3.162e+01	 -1.593e+02	 2.782e+00	 7.151e+00	 1.458e+01	 nan	 
3.199e+01	 -1.550e+02	 2.706e+00	 6.956e+00	 1.417e+01	 nan	 
3.236e+01	 -1.508e+02	 2.632e+00	 6.763e+00	 1.376e+01	 nan	 
3.273e+01	 -1.467e+02	 2.561e+00	 6.578e+00	 1.337e+01	 nan	 
3.311e+01	 -1.429e+02	 2.493e+00	 6.402e+00	 1.300e+01	 nan	 
3.350e+01	 -1.389e+02	 2.424e+00	 6.224e+00	 1.263e+01	 nan	 
3.388e+01	 -1.351e+02	 2.358e+00	 6.050e+00	 1.227e+01	 nan	 
3.428e+01	 -1.315e+02	 2.294e+00	 5.886e+00	 1.192e+01	 nan	 
3.467e+01	 -1.280e+02	 2.232e+00	 5.724e+00	 1.158e+01	 nan	 
3.508e+01	 -1.244e+02	 2.170e+00	 5.564e+00	 1.125e+01	 nan	 
3.548e+01	 -1.211e+02	 2.112e+00	 5.413e+00	 1.093e+01	 nan	 
3.589e+01	 -1.179e+02	 2.055e+00	 5.265e+00	 1.062e+01	 nan	 
3.631e+01	 -1.147e+02	 1.999e+00	 5.120e+00	 1.032e+01	 nan	 
3.673e+01	 -1.115e+02	 1.944e+00	 4.978e+00	 1.002e+01	 nan	 
3.715e+01	 -1.085e+02	 1.892e+00	 4.842e+00	 9.739e+00	 nan	 
3.758e+01	 -1.056e+02	 1.841e+00	 4.709e+00	 9.463e+00	 nan	 
3.802e+01	 -1.027e+02	 1.790e+00	 4.578e+00	 9.189e+00	 nan	 
3.846e+01	 -9.993e+01	 1.741e+00	 4.452e+00	 8.929e+00	 nan	 
3.890e+01	 -9.723e+01	 1.694e+00	 4.330e+00	 8.674e+00	 nan	 
3.935e+01	 -9.461e+01	 1.648e+00	 4.211e+00	 8.427e+00	 nan	 
3.981e+01	 -9.207e+01	 1.603e+00	 4.096e+00	 8.189e+00	 nan	 
4.027e+01	 -8.963e+01	 1.561e+00	 3.986e+00	 7.961e+00	 nan	 
4.074e+01	 -8.715e+01	 1.518e+00	 3.874e+00	 7.730e+00	 nan	 
4.121e+01	 -8.484e+01	 1.477e+00	 3.770e+00	 7.514e+00	 nan	 
4.169e+01	 -8.259e+01	 1.438e+00	 3.668e+00	 7.303e+00	 nan	 
4.217e+01	 -8.034e+01	 1.398e+00	 3.566e+00	 7.095e+00	 nan	 
4.266e+01	 -7.816e+01	 1.360e+00	 3.468e+00	 6.893e+00	 nan	 
4.315e+01	 -7.607e+01	 1.324e+00	 3.374e+00	 6.699e+00	 nan	 
4.365e+01	 -7.405e+01	 1.288e+00	 3.283e+00	 6.512e+00	 nan	 
4.416e+01	 -7.207e+01	 1.254e+00	 3.194e+00	 6.329e+00	 nan	 
4.467e+01	 -7.018e+01	 1.221e+00	 3.109e+00	 6.154e+00	 nan	 
4.519e+01	 -6.826e+01	 1.187e+00	 3.022e+00	 5.978e+00	 nan	 
4.571e+01	 -6.647e+01	 1.156e+00	 2.942e+00	 5.814e+00	 nan	 
4.624e+01	 -6.472e+01	 1.126e+00	 2.864e+00	 5.654e+00	 nan	 
4.677e+01	 -6.301e+01	 1.096e+00	 2.787e+00	 5.496e+00	 nan	 
4.731e+01	 -6.135e+01	 1.067e+00	 2.712e+00	 5.344e+00	 nan	 
4.786e+01	 -5.971e+01	 1.038e+00	 2.639e+00	 5.194e+00	 nan	 
4.842e+01	 -5.810e+01	 1.010e+00	 2.567e+00	 5.048e+00	 nan	 
4.898e+01	 -5.662e+01	 9.839e-01	 2.500e+00	 4.913e+00	 nan	 
4.954e+01	 -5.511e+01	 9.577e-01	 2.433e+00	 4.776e+00	 nan	 
5.012e+01	 -5.365e+01	 9.323e-01	 2.368e+00	 4.644e+00	 nan	 
5.070e+01	 -5.226e+01	 9.079e-01	 2.305e+00	 4.518e+00	 nan	 
5.129e+01	 -5.088e+01	 8.839e-01	 2.244e+00	 4.393e+00	 nan	 
5.188e+01	 -4.956e+01	 8.608e-01	 2.184e+00	 4.274e+00	 nan	 
5.248e+01	 -4.826e+01	 8.382e-01	 2.126e+00	 4.157e+00	 nan	 
5.309e+01	 -4.699e+01	 8.160e-01	 2.070e+00	 4.043e+00	 nan	 
5.370e+01	 -4.578e+01	 7.949e-01	 2.016e+00	 3.934e+00	 nan	 
5.433e+01	 -4.460e+01	 7.744e-01	 1.963e+00	 3.829e+00	 nan	 
5.495e+01	 -4.343e+01	 7.541e-01	 1.911e+00	 3.724e+00	 nan	 
5.559e+01	 -4.231e+01	 7.345e-01	 1.861e+00	 3.624e+00	 nan	 
5.623e+01	 -4.122e+01	 7.154e-01	 1.812e+00	 3.527e+00	 nan	 
5.688e+01	 -4.016e+01	 6.970e-01	 1.765e+00	 3.432e+00	 nan	 
5.754e+01	 -3.911e+01	 6.788e-01	 1.719e+00	 3.339e+00	 nan	 
5.821e+01	 -3.810e+01	 6.612e-01	 1.674e+00	 3.250e+00	 nan	 
5.888e+01	 -3.713e+01	 6.443e-01	 1.631e+00	 3.164e+00	 nan	 
5.957e+01	 -3.618e+01	 6.277e-01	 1.588e+00	 3.079e+00	 nan	 
6.026e+01	 -3.527e+01	 6.119e-01	 1.548e+00	 2.999e+00	 nan	 
6.095e+01	 -3.436e+01	 5.960e-01	 1.508e+00	 2.919e+00	 nan	 
6.166e+01	 -3.348e+01	 5.808e-01	 1.469e+00	 2.841e+00	 nan	 
6.237e+01	 -3.262e+01	 5.658e-01	 1.431e+00	 2.766e+00	 nan	 
6.310e+01	 -3.179e+01	 5.514e-01	 1.394e+00	 2.693e+00	 nan	 
6.383e+01	 -3.099e+01	 5.374e-01	 1.358e+00	 2.623e+00	 nan	 
6.457e+01	 -3.022e+01	 5.240e-01	 1.324e+00	 2.555e+00	 nan	 
6.531e+01	 -2.945e+01	 5.106e-01	 1.290e+00	 2.488e+00	 nan	 
6.607e+01	 -2.871e+01	 4.979e-01	 1.258e+00	 2.424e+00	 nan	 
6.683e+01	 -2.798e+01	 4.851e-01	 1.225e+00	 2.360e+00	 nan	 
6.761e+01	 -2.728e+01	 4.730e-01	 1.194e+00	 2.299e+00	 nan	 
6.839e+01	 -2.660e+01	 4.611e-01	 1.164e+00	 2.239e+00	 nan	 
6.918e+01	 -2.593e+01	 4.495e-01	 1.135e+00	 2.181e+00	 nan	 
6.998e+01	 -2.528e+01	 4.382e-01	 1.106e+00	 2.125e+00	 nan	 
7.079e+01	 -2.465e+01	 4.272e-01	 1.078e+00	 2.070e+00	 nan	 
7.161e+01	 -2.405e+01	 4.167e-01	 1.051e+00	 2.018e+00	 nan	 
7.244e+01	 -2.344e+01	 4.062e-01	 1.025e+00	 1.965e+00	 nan	 
7.328e+01	 -2.286e+01	 3.962e-01	 9.991e-01	 1.916e+00	 nan	 
7.413e+01	 -2.230e+01	 3.863e-01	 9.742e-01	 1.867e+00	 nan	 
7.499e+01	 -2.174e+01	 3.766e-01	 9.496e-01	 1.819e+00	 nan	 
7.586e+01	 -2.120e+01	 3.673e-01	 9.259e-01	 1.773e+00	 nan	 
